text,label
****. My friend`s in such a state and I don`t know how to help him. Nothing I say seems to be helping and I wish I knew what to say,0
 yeah yeah gd night then,1
Still stupidly sick...cancelled our Philly trip. Sad day,0
waiting for sleeping pills to kick in... gonna be so tired at work tomorrow,0
HAPPY MOTHER`S DAY TO ALL MOTHERS!,1
_Luck13 they are SO cute,1
" A big welcome to Twitterlandz grrl! Really wish I could have made it to the Bettie show,  glad to hear it was a success",1
 Thank you Kirst - your posts on running inspired me,1
 Airsoft is horrible!! Hope you didn`t get hurt,0
"greek season two, i love this show.",1
 thank you! Marc Jacobs thou ....love limited too,1
 A pretty black top with flowers in pink hues,1
 looks like your having fun,1
Had a ton of fun w muffin today,1
bought awesome shooeessss,1
a trending topic: HAPPY STAR WARS DAY,1
 heyyy you ALWAYS look nice  wanna come to my friend`s party? its june 8th long weekend in sydney,1
at    Happy mother`s dayyy Deniseee <3,1
 the exact one i was thinking of  the bestttt.,1
_Schulz lucky u;-) no park for me  maybe for a short period ... i really have some stuff to be done untill Wed ...,1
A Banana and 2 cups of Coffee...Not a so Healthy Breakfast!,0
I`M FEELING GREAT!,1
 i hope you feel better,1
has stuff to do but refuses to do them.  :[,0
 lol! Ahhh well its a good song,1
 Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,1
 Hell yes. I`m too late.,0
"****. have to break my 'no work in weekend' rule  so much overloaded with work. aargh, hate it!",0
 nooo!! not too busy for you! EVER! SRSLY!  you are my pal! I`m not yet familiar with iphone twitter,1
  I do not mean to laugh but a little giggle did come out - sorry,0
I hate it when Trevor drives,0
Think I`ll go enjoy the sun`s rays again...I LOVE being off work,1
I haven`t slept this good in such a long time... I feel great.,1
I Miss Daddy and Mommy,0
"has burnt my hand on the cooker, it hurts",0
This porridge tastes ****! I cba with today man.,0
"Oh hell, I forgot the non-alcoholic cider for Monday`s dinner. MPP is teetotaler. Now must drive to Waupoos. Have 7 cases of wine in car.",0
Happy Birthday Mommy,1
 Good luck on Monday!  Keep on rockin`,1
AHHHH! Cant find anything because I have way too much open,0
Dangit! I just got my Kiss Album in and it`s the wrong color.,0
Monday...Funday!  Wake up people...and keep me awake please   Today is going to be a long one..I can already feel it. Eww,0
"Browsing through the web. And expecting to see the PMS forum back up, but no luck",0
Struggling...selfishness and jealousy doesn`t get you any further in life... ohh myyy,0
" I know...I would too. Yes i cant wait for BB, i love it! I heard theyre not showing the 24 hr live streaming this year though",1
 oh suuuuuuuure...rub it in why don`t ya!!!!!!!!! LOL Enjoy!,1
 http://twitpic.com/5wb0k - what a mess. we`re missing the bra strap.,0
http://twitpic.com/4wgoq - The Beach was phenomenal 2day,1
I just love when all my little brothers friends come over,1
" Thanks for the R, but, sorry, the LOTR was spam.",0
 i think both ?s related to size depend on structures and system: hard to relay in tweet but worth blogging..good questions this am,1
_Reviews THANKS!,1
" nice on the jet ski testing! Hope the book is going well. Cheers for adding me, got twitter after watching the gadget show",1
 no one ever gave me the info I`m sad,0
is so tired ive walked 6.05 kilometres today,0
 My lil` old Mac did the same thing...and it was never to charge again.,0
in a very stress mood,0
 Oh noooo that sucks  Did you reschedule for another show?,0
Everyone`s talking about the goodies at #BEA09.  I wanna be there.,1
_Morgan_  which 1? There r2 that I love and want to share  i just wish I`d made them-,1
 oh ok  well im sendin lots of love ****,1
_Fur_Laxis It makes me feel physically sick. I read Let The Right One In and was only horrified by the cat violence.  Just horrible,0
"sitting here with Nathan, Eddie & Brenden chilling out at 1 AM, haha great day, I love my life!",1
Is anyone else having problems following and unfollowing peeps? For me this has gone on for over a week!,0
 i`m still crossing my fingers for a fun group,1
So treat your Mom`s like Queen`s cuz they are,1
didn`t make it out to shop.......      there is always tomorrow.,1
 Sorry to hear.,0
Poor Johnny is sick   Looks like he`ll be going to the vet tomorrow,0
 thanks for trying,1
Wish I was in London to personally witness the Nun Run! What a great idea for the opening of Sister Act`s new broadway show,1
 hehe i will never thorw out these shoes  i`m listening to varsity fanclub surprise surprise  sway sway baby is awesome,1
I just saw a shooting star... I made my wish,1
Bye twitter & FB world! I`m at the San Francisco airport ready to board Air China. Not sure if I`ll have Internet access,0
Looking forward to the new week with the presentation of my book in a store in Dillingen today and some interesting sales seminars,1
At work sick  but I`m ok to the mall!,0
the puppy shall loose his um... manly parts today  poor guy....,0
 COOOOOOOOOL... DOOOOOOOOOWN... Patience... Is... Virtue...,1
doin homework ugh,0
Happy Mother`s Day to all the mothers out there! Do have a good and enjoyable day,1
"i have an urge to play wow but i have to wait 2 weeks til im at my dads! 5+47DAYS TIL MCFLY, im so excited  (L)",1
DIDO 'US 2 Little Gods' http://ow.ly/9UIn 'Just this moment/ Let it all stop here/ I`ve had my fill'...words that make you panic...,0
" I know, twitter is depressing me tonight",0
 I also have a brain tumor called Jeffery.,0
" yeah - stomach bug or something. Fever, etc. Not fun.",0
 I think we have it pretty much figured out.  added a box in the Helsinki group where you can see the tweets,1
 me neither at first...but u gotta go thru somethin first to get there lmao...i almost burnt my house down and that set me str8,0
 oh you are too kind,1
14 more days with slow internet,0
" OH SILENCE VERONA!  I AM WANTING TO GO   jaja, enjoyyitverymuch and bring me phothos of Danny and dougie ?",1
"Watching 'All the Kings Men', It be pretty good so far!",1
Was meant to go play cricket but can`t get a lift so I`m now stuck at home watching the Apprentice on a lovely day  http://ff.im/-3niD8,0
"had a fun time at the concert!  almost got a picture with Taylor Momsen, freakin next in line then she left!",1
"o, and happy mothers day",1
 nooooooooooooooo! well the 4G will prob be out in June but that doesn`t help u now,0
 Sounds pretty cool. Great job man!,1
" have fun!!!!  i dont have school for a while, wish i could go to germany... its like 1 hour away  xoxo",1
Men it`s far too sunny,0
 I`m So Mad I Wont Be There!!!!!!!!! UGHHH!!!,0
happy mothers day to all   im off to spend the day with my family,1
going to bed its late and I have headache,0
watching two of my patients die tonight has put me in a funk. one was young.,0
 They have a list of 50 state parks here in PA that are under consideration for closing. Nice ones too.,0
Is heading home from foot surgery and wishing she had a boyfriend to come over and cuddle with,1
has a headaaaaaaaaaaaache,0
is still sick  sigh,0
Well hopefully I`ll see you both   at the conference,1
Ok that **** duet was hysterical LOL,1
i miss my boo,0
I had a great date last night...tried to find the CDCaves with Daniel  it was HILARIOUSLY FUN!!!,1
Got an email from  telling me I could have got my monday flight to SFO cheaper & Biz class if I had booked it tomorrow,0
 very cute kitty,1
Just got caught in the down pour,0
: yay! it will be good to have you back,1
 Who doesn`t know who The Supervillians are Fails. I saw you both in January at The Warfield in SF.  LEGIT SHOW FOR SURE.,0
I raced her once. I totally lost  RIP  http://tinyurl.com/lhgca8,0
 yay! your face is back,1
Just got home. :3 Was pleased with Star Trek.,1
Happy Star Wars Day,1
"thanks to the forever 21 curse that makes you spend 3 hours there everytime you go in, i couldnt go tanning today",0
GREG NOOOOO DON LEAVE ME  U SHUD HAVE GONE THROOOOOOOOOOOOOO!!!!!! im gonna find u restaurant don`t worry lol  cry cry cry,0
Stupid freshmen ruined theatre class.. Now we don`t get to play warm-up games for the rest of the school year,0
i hate the biatches of this world,0
" aww, we will miss you.  At least you get to go home right?",0
Loves her david soooooo much <3,1
I`m at work trying hard not to succumb to the 'Poor me' mentality due to severe allergies.  Boo.,0
" Thank you  I liked Joe`s clothes` being ripped off and then Kevin screaming, 'Who are you!?!' XD",1
 ****  real sorry to hear that ma,0
says HAPPY MOTHER`S DAY TO ALL THE MOMS OUT THERE!  http://plurk.com/p/stezd,1
"_127 good morning  one m,ore day YAY! #TwitterTakeover",1
in class sick and hungry,0
Off to Dollarama -- I wish I had a new job,1
 Haha! At the Somerset theatre in Ottawa. I remember that well. The more things change the more they stay the same,1
The new redesigned cricinfo : http://tinyurl.com/mxlcuv I hate change,0
 I know.  I have such guilt associated with picking winners.,0
 Good Morning  Hows u ?,1
Waking up .....working....Happy as can be!  Its gonna be a great day today... I can see it..and im not sore from Running yesterday!!!,1
The underwire in my bra is sticking out and poking me in the armpit,0
DH is just about finished making his giant Trio candy bar. Thank the heavens. His work mates are in for a treat tomorrow!,1
i hate interviews. im going to do horrible today,0
"going to work at one sucks, I miss happy hour at sonic",0
industrial tommorow! oh yeah & I get to go see a bunch of old people go away forever & I will probably cry all over the place.,0
 not good enough!,0
"going crazy, the pain is unbearable..& i gotta wait till thursday!?",0
F.Y.I. a lot of you people that are following me i have unfollowed a lot of you  yer kinda boring me or not really helpful to my e-growth!,0
Is getting upset at work cus bindz and j are being bullies  and they won`t let me go duty free shopping!,0
tomorrow is mothers day. so good food & presents for mom. good to be back & go to the junction with the coolest people at ollies,1
Hates moving,0
I have a belly ache...,0
taking Willy to the specialist...poor dog! He has to get a CT scan cos he can`t walk properly atm,0
 ALL white shoes make me cringe  . White shoes give me pause.,0
"its a beautiful,albeit, windy at times, night in So No....",1
_Cool yep here`s hoping,1
Last week I had 516 hits on my guinea pig pictures on webshots! And I didn`t even promote them! Way to go,1
 sti`s doin` just fine  how bout you?,1
why am i up so early,0
#3wordsaftersex goodbye innocence!!!,1
 thank u sweetie! Can`t wait to set sail with u next week,1
 yeah ... he was 0-3 and SCOREless tonight,0
 Aww  Yeah I feel you. I know its hard.,0
 I did laundry tonight too.  Guess I can admit that now that you paved the way.,1
"No AC, the fan doesnt swing our way ... we are sweating it out on a hot humid day",0
Just got done watching Bedtime Stories! Love that movie!,1
"Gettin some fuel, too bad no one is reading this!",0
UUUUUGH!!! I HATE I MISSED  INTERVIEW!!! I WASNT AT HOME!!! DARN!!!,0
some of my new followers are pretty cool peeps; check `em out.,1
"yes! its finally friday, and im stuck doing projects",0
"why i still lose followers?  the people hates me, THE WORLD hates me or maybe ... Read More: http://is.gd/Jg3I",0
"http://twitpic.com/675u6 - Square B - she is sad because she wasn`t there and now she`s, well, square  (crocheted bee with poly fibe ...",0
 I heard your moving to Sydney next year im not happy,0
 Thanks for the Gifford Lectures page,1
_joy it`s entirely possible,1
" ohhh ok. so like, it`s more frustrating? I had my hands on a 3g iphone last week but it was upgraded so i couldn`t unlock it",0
#myweawkness chocolate...i can`t say no,0
 ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,0
Still awake can`t fall asleep I`m not one bit sleepy,0
" I know, right?!? I have such a lead foot",1
"cALL mE wiErD, bUt I jUs LuV rAiNy DaYs! MaKeS mE feeL sO waRm & cOzY iNsIdE  LoL",1
_AliceV No  None in the house and I`m not sure i should drive to the coffee stand. It`s worse than I thought it would be.,0
so who is in for bring at HK lounge tomorrow ? $12 all you can drink till 5pm... then kareoke. I think it will be a nice Sunday!,1
 ****. You could have just called or told me in person. You didn`t have to humiliate me in front of the whole twitterverse.,0
" The best bike for the best guy! I love the Ducati sound. I think itï¿½s unnecessary to ask for a ride, isnï¿½****? Nice vid ...",1
" I`m a jerk...  now I can`t go out    Dammit Frank, why do I suck so bad?",0
 dude fail.  i know exactly where this place is too,0
"right, so richard marx`s right here waiting is really making me feel nauseatingly sad.",0
aw that wee lassie made me cry  tears streamin doon ma face lol thats a wee shame x,0
_W wow-thanks soo much. Hope your well,1
happy to b home .. then my mind wanders an I can`t sleep,1
Playin` didgeridoo in the living room and thinking about the world going by.... lovely life  #fb,1
"  I don`t mind whistlers if they are actually whistling a tune, but those who just whistle nothing drive me crazy!",1
i want to go to music tonight but i lost my voice.,0
I`m excited for the things for Jay`s room to arrive,1
Don`t follow your dreams; chase them.- Richard Dumb (who I think is very smart,1
 yeah.. gives me something useless to crib abt,0
Also with the not driving part i could afford a laptop. Also living with a roommate i would save even more,1
just took my shirt off and my back is COVERED in blisters  http://bit.ly/vUiXG,0
" oh, is it good? I`ve been wanting to watch that movie but nooobody would watch it w/me",0
"And apparently I misplaced my iPod, the 30 gb",0
I`m an incredibly happy person with 100% energy. Love to dance & laugh...the only thing that I know.I`m one of the most down to earth ppl,1
 hey Padster...it`s a dirt track.  thx for the info! I got 3 miles in,1
" thanks clair, I haven`t watched it yet.",1
Happy Star Wars Day! May the 4th be with you  (via Nige the Goth),1
had nutella croissant+mango+melon+coffee and a lovely stalk of iris for breakfast in bed courtesy of N  Have the house to myself til noon,1
_Nicole wow you are lucky  happy birthday!,1
 Happy mothers day to you beautiful!,1
at dancing...waiting for my turn  hope i get my newww cd with the funky reel music todayy!!!,0
Right now at my second gig !!! Sippinn on guess whut ? Water  we sta focused we are on the job,1
"I`m not going to lie, I`m loving the Ace of Cakes  wooop! LOST!",1
 I **** miss that band so so much,0
i miss our walks home together,0
  thanks  I`m holding my mini laser light thingy lol. How are u?,1
god assignments are stressful ! but its finished now lol and im off to bedd,0
 oi  i love you,1
 thanx for the msg! glad u liked my singing!,1
 we just missd each otha again! I was at disney all day YESTERday!,0
"Darn it, I`m craving wedding cake... a craving that`s very hard to satisfy with anything else!",0
omg i was so nervous last block. i had my speech and i almost puked. it was horrible.... i bet i got a bad grade on it....,0
"is having a well-deserved break today..NO PHONE CALLS, NO EMAILS..only plenty of catch up movies to doooooo",1
"_mayer I`d like to see a picture of you, Carl and John where everyone can read from your faces you`re proud of and you love eachother",1
is wishing all of the mother`s out there a very Happy Mother`s Day!! Love ya!,1
"I want to go outside and play in the sunshine, but I have to sit in front of a computer all day   At least I can have lunch on the patio!",0
"Ugh. I hate bad grades. 1st time I`ve ever failed a class and no As- B, B, D, W, I, I! Not like me at all",0
wow. someone`s proud of me.,1
Had a great weekend with John-back to work for 3 days then going to Illinois on Thurs & Fri for more Gigs with John,1
" hahahaha nice. i gave up on bio cos idk what the hell i`m doing, so hello chem",0
"Home, good night world",1
 Thanks for sympathy. It wasn`t too bad until about an hour ago when I started thinking of the appointment tomorrow.,1
 Uh oh!  Hope nothing too damaged.,1
 Have a great weekend Mononoke  I may be tweeting from inside the movie theater either Monday or Tuesday  lol,1
 Now you only have 2 hours to sleep...  - Rest if you need it.,1
wishes people wouldn`t be so stubborn sometimes.,1
2am feedings for the baby are fun when he is all smiles and coos,1
 Thanks Kashi! I was thinking the other day about how mad I am for doing myself a disservice by not taking 1 of ur classes.,1
" oh my gosh, loved it!",1
Little one`s cast is taking a beating. It is starting to show some wear and tear and it has been on less than a week. She is too active!,1
 *bows*  I try...sometimes it is hard,0
 sorry to disappoint.,0
Can I get tonight`s SYTYCD online anywhere...streamed like Hulu or paid like iTunes. I missed my favorite judge and now I can`t sleep.,0
 kwl... nm this msn nd homework... but i went 2 c hanna montana hte movie yesterday **** happy mayday btw ****,1
Aaahhh I`m just so busy. Sorry everyone.,0
 Yes I think so unless it changed.  I sent u a happy mothers day text but u never responded back,0
it`s too beautiful to stay inside,1
 Now that sucks...  P?i ?i s? ï¿½n?eleg c? Jay Leno nu va mai avea o alt? emisiune sau ceva?,0
" I do feel bad for him too. Especially na ngayon pa siya nagrerehab siya and all. Wrong timing. Still, maybe he had it coming",0
"yaayy, cannot wait for today girls!  gotta get dressed this early, because were going early!",1
 ****! I want to be at the beach in the sun,0
is watching 'Sicko' and is utterly digusted with this country...,0
